O + 6         8         7       5963164.(  )
    1 1S2               (1)0( 0.0)               0.0000
    2 1S1 2S1           (3)0( 1.0)         4526946.7472
    3 1S1 2P1           (3)1( 0.0)         4587887.8205
    4 1S1 2P1           (3)1( 1.0)         4588243.3693
    5 1S1 2P1           (3)1( 2.0)         4588974.2197
    6 1S1 2S1           (1)0( 0.0)         4594943.4899
    7 1S1 2P1           (1)1( 1.0)         4636123.9481
    8 1S1 3S1           (3)0( 1.0)         5343184.1973
    9 1S1 3P1           (3)1( 0.0)         5359515.7412
   10 1S1 3P1           (3)1( 1.0)         5359614.5048
   11 1S1 3P1           (3)1( 2.0)         5359815.9825
   12 1S1 3S1           (1)0( 0.0)         5360831.2720
   13 1S1 3D1           (3)2( 1.0)         5368692.8522
   14 1S1 3D1           (3)2( 2.0)         5368728.4071
   15 1S1 3D1           (3)2( 3.0)         5368791.6157
   16 1S1 3D1           (1)2( 2.0)         5369320.9885
   17 1S1 3P1           (1)1( 1.0)         5372722.4058
   -1
 7.00    3       9.80+03 2.45+04 4.90+04 9.80+04 2.45+05 4.90+05 9.80+05 2.45+06 4.90+06 9.80+06 2.45+07 4.90+07 9.80+07
  10   7 8.45+02 1.10-01 7.70-02 5.69-02 4.35-02 3.20-02 2.53-02 1.92-02 1.20-02 7.66-03 4.60-03 2.18-03 1.21-03 6.63-04 2.14-05
  11   7 1.52+02 2.01-01 1.39-01 1.01-01 7.56-02 5.47-02 4.29-02 3.23-02 2.00-02 1.28-02 7.67-03 3.63-03 1.99-03 1.08-03 6.29-06
  12   7 2.37+10 1.94-01 1.20-01 7.76-02 5.10-02 3.31-02 2.74-02 2.64-02 3.23-02 4.25-02 5.73-02 8.31-02 1.06-01 1.31-01-4.10-02
  13   7 7.06+06 4.77-02 4.76-02 4.68-02 4.51-02 4.03-02 3.43-02 2.68-02 1.66-02 1.05-02 6.21-03 2.98-03 1.75-03 1.12-03-3.55-05
  14   7 8.24+08 8.38-02 8.35-02 8.22-02 7.94-02 7.19-02 6.26-02 5.11-02 3.65-02 2.87-02 2.46-02 2.40-02 2.60-02 2.92-02-6.90-03
  15   7 3.65+02 1.12-01 1.11-01 1.09-01 1.05-01 9.35-02 7.96-02 6.21-02 3.85-02 2.42-02 1.42-02 6.54-03 3.52-03 1.87-03 4.99-06
  16   7 1.53+11 8.77-01 8.73-01 8.81-01 9.05-01 9.77-01 1.08+00 1.26+00 1.65+00 2.09+00 2.64+00 3.52+00 4.26+00 5.05+00-1.27+00
  17   7 3.11+06 2.51-01 2.52-01 2.54-01 2.58-01 2.68-01 2.79-01 2.96-01 3.23-01 3.44-01 3.63-01 3.81-01 3.90-01 3.96-01 4.03-01
   9   8 9.65+06 5.98+00 6.00+00 6.01+00 6.06+00 6.41+00 7.00+00 7.84+00 9.20+00 1.03+01 1.15+01 1.29+01 1.40+01 1.51+01-1.46+00
  10   8 9.83+06 1.77+01 1.82+01 1.82+01 1.83+01 1.93+01 2.10+01 2.35+01 2.76+01 3.10+01 3.44+01 3.88+01 4.20+01 4.52+01-4.37+00
